Drug_A,Drug_B,Cell_Line,Score,Label
2907,24748204,LOVO,-7.056699596,0
2907,24748204,NCIH460,-5.895400138,0
2907,24748204,SW837,-0.863652702,0
2907,24748204,UWB1289,-11.10468402,0
2907,24856436,EFM192B,-1.634016434,0
2907,24856436,LNCAP,-41.47720935,0
2907,24856436,LOVO,-4.0399195,0
2907,24856436,NCIH23,-2.384871794,0
2907,24856436,OV90,-2.76096107,0
2907,24856436,T47D,-8.212706736,0
2907,24856436,UWB1289,67.63674093,1
2907,24958200,A375,-1.328121222,0
2907,24958200,A427,-10.7346263,0
2907,24958200,EFM192B,-0.371497883,0
2907,24958200,ES2,-6.950321057,0
2907,24958200,HT144,-0.399138895,0
2907,24958200,LNCAP,-66.13421817,0
2907,24958200,LOVO,-13.74195139,0
2907,24958200,MSTO,-6.419720062,0
2907,24958200,NCIH23,-1.774150127,0
2907,24958200,NCIH460,-1.091727406,0
2907,24958200,PA1,-0.827278151,0
2907,24958200,RPMI7951,-0.093818486,0
2907,24958200,SKMEL30,-0.280705457,0
2907,24958200,SW837,-17.67207508,0
2907,24958200,T47D,-24.21855613,0
2907,24958200,UACC62,-13.88910739,0
2907,24964624,ES2,-0.63112687,0
2907,24964624,HT29,-0.319208457,0
2907,24964624,LNCAP,-115.3140291,0
2907,24964624,LOVO,-11.15448584,0
2907,24964624,T47D,37.41936164,1
2907,24964624,UWB1289,-8.701963258,0
2907,46926350,A2780,-3.247479641,0
2907,46926350,CAOV3,-17.60390771,0
2907,46926350,KPL1,-12.26423344,0
2907,46926350,LNCAP,56.67788114,1
2907,46926350,MDAMB436,-0.898396822,0
2907,46926350,NCIH23,-3.64729825,0
2907,46926350,OV90,-1.209368773,0
2907,46926350,PA1,-0.647160199,0
2907,46926350,SW837,-11.81288946,0
2907,46926350,UWB1289,-8.435198709,0
2907,46926350,UWB1289BRCA1,-7.624091135,0
3385,5311,A2058,-5.508119589,0
3385,5311,A2780,-3.848401273,0
3385,5311,A427,-31.94692955,0
3385,5311,CAOV3,-3.518537503,0
3385,5311,ES2,-1.689816761,0
3385,5311,HCT116,-8.735905545,0
3385,5311,HT144,-4.394725666,0
3385,5311,HT29,-1.42768389,0
3385,5311,KPL1,-4.343384834,0
3385,5311,LOVO,-8.398048463,0
3385,5311,NCIH23,-15.10567636,0
3385,5311,NCIH520,-7.702952771,0
3385,5311,OCUBM,-7.803497534,0
3385,5311,OV90,-0.210268239,0
3385,5311,PA1,-2.24688051,0
3385,5311,RPMI7951,-0.240638175,0
3385,5311,SKMEL30,-4.880397628,0
3385,5311,SW620,-17.22800516,0
3385,5311,SW837,-3.532158377,0
3385,5311,UWB1289,-0.548894112,0
3385,5311,ZR751,-20.67751276,0
3385,5394,A2780,-0.604352835,0
3385,5394,A375,-15.98333594,0
3385,5394,CAOV3,-35.66063407,0
3385,5394,DLD1,-4.753422053,0
3385,5394,EFM192B,-39.7171613,0
3385,5394,HCT116,-15.66309184,0
3385,5394,HT144,-24.286518,0
3385,5394,HT29,-13.17812058,0
3385,5394,KPL1,-32.03551474,0
3385,5394,LNCAP,-16.14608633,0
3385,5394,LOVO,-17.96614029,0
3385,5394,MSTO,-8.452318032,0
3385,5394,NCIH1650,-16.13611503,0
3385,5394,NCIH2122,-4.976433836,0
3385,5394,NCIH23,-22.41858189,0
3385,5394,NCIH460,-23.41105381,0
3385,5394,OCUBM,-15.12140115,0
3385,5394,OV90,-8.734577697,0
3385,5394,RKO,-9.323430376,0
3385,5394,SKMEL30,-55.9657771,0
3385,5394,SKOV3,-4.021491118,0
3385,5394,SW837,-44.6178968,0
3385,5394,T47D,-31.48916586,0
3385,5394,UACC62,-11.96862443,0
3385,5394,VCAP,-2.729516379,0
3385,5394,ZR751,-51.98862044,0
3385,176870,CAOV3,-7.951635169,0
3385,176870,KPL1,-3.015273458,0
3385,176870,LNCAP,-6.984395195,0
3385,176870,MSTO,-45.89376066,0
3385,176870,OV90,-11.04004585,0
3385,176870,T47D,-3.049710368,0
3385,208908,A427,-4.179454254,0
3385,208908,CAOV3,-6.77752803,0
3385,208908,KPL1,-9.537311313,0
3385,208908,LNCAP,-16.37649722,0
3385,208908,MSTO,-55.47026432,0
3385,208908,NCIH23,-8.734799525,0
3385,208908,NCIH460,-2.035012581,0
3385,208908,NCIH520,-7.263521908,0
3385,208908,OV90,-9.295070254,0
3385,208908,SW620,-2.41819166,0
3385,216239,CAOV3,-16.67220342,0
3385,216239,EFM192B,-9.022149207,0
3385,216239,HCT116,-1.955025391,0
3385,216239,HT29,-3.551610833,0
3385,216239,KPL1,-5.046283575,0
3385,216239,LNCAP,-13.39034615,0
3385,216239,LOVO,-13.81534377,0
3385,216239,MDAMB436,-4.304317076,0
3385,216239,MSTO,-13.50351384,0
3385,216239,NCIH1650,-2.500149835,0
3385,216239,NCIH2122,-3.768823231,0
3385,216239,NCIH23,-1.286810998,0
3385,216239,NCIH460,-0.895637539,0
3385,216239,OVCAR3,-18.31547421,0
3385,216239,RPMI7951,-5.041472651,0
3385,216239,SW837,-8.60896251,0
3385,216239,T47D,-4.531377558,0
3385,216239,ZR751,-11.36179266,0
3385,216453,CAOV3,-11.24456132,0
3385,216453,NCIH460,-0.561759117,0
3385,216453,SKMEL30,-57.88453337,0
3385,216453,SW837,-4.457131373,0
3385,387447,A2058,-5.239878448,0
3385,387447,A2780,-18.59912622,0
3385,387447,A375,-2.405334783,0
3385,387447,A427,-7.87670815,0
3385,387447,CAOV3,-35.27304184,0
3385,387447,COLO320DM,-10.97044616,0
3385,387447,EFM192B,-8.35611103,0
3385,387447,ES2,-16.13012533,0
3385,387447,HCT116,-4.51926945,0
3385,387447,HT144,-14.56978258,0
3385,387447,HT29,-15.95161347,0
3385,387447,KPL1,-2.997532726,0
3385,387447,LNCAP,-1.855232481,0
3385,387447,LOVO,-6.175982009,0
3385,387447,MDAMB436,-2.025565761,0
3385,387447,MSTO,52.48518972,1
3385,387447,NCIH1650,-15.77870569,0
3385,387447,NCIH2122,-16.69626568,0
3385,387447,NCIH23,-9.190964586,0
3385,387447,NCIH460,-18.99813026,0
3385,387447,NCIH520,-24.06755091,0
3385,387447,OCUBM,-7.508624839,0
3385,387447,OV90,-9.586166869,0
3385,387447,OVCAR3,-9.895036466,0
3385,387447,PA1,-20.70616808,0
3385,387447,RPMI7951,-10.47941439,0
3385,387447,SKMEL30,-172.8887021,0
3385,387447,SKMES1,-11.64272985,0
3385,387447,SKOV3,-4.604893623,0
3385,387447,SW620,-1.907966818,0
3385,387447,SW837,-1.3618595,0
3385,387447,UACC62,-17.84185108,0
3385,387447,UWB1289,-15.03075018,0
3385,387447,UWB1289BRCA1,-2.819780355,0
3385,387447,VCAP,-7.053510631,0
3385,387447,ZR751,-17.45137527,0
3385,3062316,A2058,31.12564418,1
3385,3062316,A2780,50.60366026,1
3385,3062316,HCT116,-7.819271786,0
3385,3062316,HT144,-22.97327812,0
3385,3062316,NCIH2122,-31.1947196,0
3385,3062316,NCIH520,42.73505144,1
3385,3062316,OCUBM,-6.043503552,0
3385,3062316,OVCAR3,57.03314711,1
3385,3062316,PA1,33.90828352,1
3385,3062316,SKMEL30,-4.618694814,0
3385,3062316,SW620,30.44463084,1
3385,5288382,CAOV3,-12.98670671,0
3385,5288382,ES2,-5.25702499,0
3385,5288382,HT29,-3.946071269,0
3385,5288382,LOVO,-6.353136659,0
3385,5288382,NCIH1650,-6.752269383,0
3385,5288382,NCIH2122,-2.692734853,0
3385,5288382,NCIH23,-9.33481084,0
3385,5288382,NCIH460,-2.446804514,0
3385,5288382,OCUBM,-0.938924849,0
3385,5288382,OVCAR3,-8.840446825,0
3385,5288382,PA1,-1.794612188,0
3385,5288382,RPMI7951,-8.084247184,0
3385,5288382,SKMEL30,-80.63896867,0
3385,5288382,SKOV3,-9.188164195,0
3385,5288382,SW620,-2.851271236,0
3385,5288382,SW837,-10.01418099,0
3385,5288382,T47D,30.67999441,1
3385,5288382,UACC62,-1.345401011,0
3385,5288382,UWB1289,-6.752981256,0
3385,5288382,UWB1289BRCA1,-7.747059794,0
3385,5288382,ZR751,-15.00928456,0
3385,5329102,EFM192B,-3.19593666,0
3385,5329102,LNCAP,-6.200837303,0
3385,5329102,MSTO,-19.19337264,0
3385,5329102,RPMI7951,-1.343261089,0
3385,5329102,SW837,-4.901836837,0
3385,9826528,A375,-1.792872312,0
3385,9826528,CAOV3,-1.127802619,0
3385,9826528,EFM192B,-3.034894245,0
3385,9826528,KPL1,-6.345032217,0
3385,9826528,LOVO,-6.245195086,0
3385,9826528,NCIH520,-1.142915464,0
3385,9826528,OV90,-6.566990006,0
3385,9826528,SKMEL30,-144.4016546,0
3385,9826528,SKMES1,-5.424553399,0
3385,9826528,T47D,46.99657957,1
3385,9826528,UACC62,-3.443232407,0
3385,9826528,ZR751,-7.018474235,0
3385,11520894,A2058,32.33623166,1
3385,11520894,MSTO,-34.43024988,0
3385,11520894,PA1,41.30121414,1
3385,11960529,A375,-1.198505438,0
3385,11960529,CAOV3,-5.139971221,0
3385,11960529,EFM192B,-5.089852856,0
3385,11960529,HT144,-3.701354746,0
3385,11960529,LOVO,-8.979213946,0
3385,11960529,MSTO,-1.793073865,0
3385,11960529,NCIH1650,-5.996370297,0
3385,11960529,NCIH23,-5.042652306,0
3385,11960529,NCIH460,-6.611947917,0
3385,11960529,OV90,-10.06884761,0
3385,11960529,RKO,-2.677587786,0
3385,11960529,RPMI7951,-2.17322193,0
3385,11960529,SKMEL30,-36.45922958,0
3385,11960529,SKMES1,-0.086424579,0
3385,11960529,SW837,-14.52310863,0
3385,11960529,UACC62,-1.583963783,0
3385,11960529,ZR751,-8.675317044,0
3385,11977753,LNCAP,55.29129934,1
3385,11977753,MSTO,-8.321116212,0
3385,11977753,SKMEL30,-73.13840165,0
3385,11977753,T47D,106.0071924,1
3385,16224745,A427,37.92676259,1
3385,16224745,CAOV3,57.10355598,1
3385,16224745,ES2,-10.66233849,0
3385,16224745,KPL1,-1.208769645,0
3385,16224745,MDAMB436,43.35485062,1
3385,16224745,MSTO,-28.69135036,0
3385,16224745,OCUBM,58.84964574,1
3385,16224745,SKMEL30,-81.44128366,0
3385,16224745,SW837,-20.52658286,0
3385,16224745,UWB1289,-7.730167746,0
3385,16224745,UWB1289BRCA1,-11.15156386,0
3385,16224745,ZR751,-0.408307311,0
3385,24748204,CAOV3,-13.04134069,0
3385,24748204,EFM192B,-0.31414384,0
3385,24748204,LNCAP,-20.6434715,0
3385,24748204,MSTO,-34.44593587,0
3385,24748204,NCIH1650,-0.65998377,0
3385,24748204,NCIH2122,-1.788640257,0
3385,24748204,NCIH23,-2.774618677,0
3385,24748204,NCIH460,-5.659480778,0
3385,24748204,RKO,-2.418031889,0
3385,24748204,SKMES1,-2.969522572,0
3385,24748204,SW837,-3.194708892,0
3385,24856436,HT29,-2.712205241,0
3385,24856436,KPL1,-2.061161349,0
3385,24856436,LOVO,-4.001507328,0
3385,24856436,MSTO,-32.99061919,0
3385,24856436,NCIH23,-7.115899185,0
3385,24856436,OCUBM,33.59292588,1
3385,24856436,OV90,-3.193651947,0
3385,24856436,SKMES1,33.3532584,1
3385,24856436,UWB1289,70.15816882,1
3385,24856436,VCAP,-0.998327533,0
3385,24958200,A375,-2.191356891,0
3385,24958200,CAOV3,-3.746010144,0
3385,24958200,EFM192B,-6.781376309,0
3385,24958200,ES2,-4.081486949,0
3385,24958200,HT144,-2.572706421,0
3385,24958200,KPL1,-3.723996971,0
3385,24958200,LNCAP,-24.4814919,0
3385,24958200,LOVO,-14.5737162,0
3385,24958200,MSTO,-54.84820211,0
3385,24958200,NCIH1650,-9.248017329,0
3385,24958200,NCIH23,-10.52634233,0
3385,24958200,NCIH460,-2.86047703,0
3385,24958200,OV90,-11.5759633,0
3385,24958200,OVCAR3,-1.837636378,0
3385,24958200,RKO,-0.321869637,0
3385,24958200,SKOV3,-0.060945557,0
3385,24958200,SW837,-12.72451513,0
3385,24958200,T47D,-9.881815829,0
3385,24964624,CAOV3,41.06914178,1
3385,24964624,EFM192B,-2.225501932,0
3385,24964624,MSTO,-35.31198822,0
3385,46926350,A2780,-8.161128639,0
3385,46926350,A375,-5.415934201,0
3385,46926350,A427,-7.747473682,0
3385,46926350,CAOV3,-14.34742589,0
3385,46926350,DLD1,-3.641267266,0
3385,46926350,HT144,-3.477422217,0
3385,46926350,HT29,-2.539408744,0
3385,46926350,LNCAP,-0.848044466,0
3385,46926350,LOVO,-11.87695993,0
3385,46926350,NCIH1650,-2.113223506,0
3385,46926350,NCIH23,-9.5337023,0
3385,46926350,NCIH460,-7.420980558,0
3385,46926350,NCIH520,-4.321048546,0
3385,46926350,OV90,-5.935579062,0
3385,46926350,PA1,-5.732865144,0
3385,46926350,RPMI7951,-5.68699024,0
3385,46926350,SKMEL30,-96.61714003,0
3385,46926350,SKMES1,-3.140341301,0
3385,46926350,SKOV3,-13.89910152,0
3385,46926350,SW620,-4.568071398,0
3385,46926350,SW837,-19.57332293,0
3385,46926350,T47D,-2.721986339,0
3385,46926350,UWB1289,-0.233190592,0
3385,46926350,ZR751,-13.58239014,0
4091,5311,A427,-17.14739769,0
4091,5311,ES2,-4.667402747,0
4091,5311,HT144,-2.70673511,0
4091,5311,MSTO,-1.894103893,0
4091,5311,NCIH23,-5.788244081,0
4091,5311,NCIH460,-4.584454212,0
4091,5311,OCUBM,-15.82768311,0
4091,5311,T47D,55.63110511,1
4091,5311,UACC62,-1.488001614,0
4091,5311,UWB1289BRCA1,-0.909311544,0
4091,5311,ZR751,-17.72204566,0
4091,5394,A2780,-5.308425827,0
4091,5394,A375,-3.794762052,0
4091,5394,A427,-5.560474322,0
4091,5394,CAOV3,-89.92810381,0
4091,5394,DLD1,-4.416578923,0
4091,5394,EFM192B,-30.51532048,0
4091,5394,ES2,-2.179727699,0
4091,5394,HCT116,-5.325345132,0
4091,5394,HT144,-10.42096896,0
4091,5394,HT29,-1.393987201,0
4091,5394,KPL1,-20.66547168,0
4091,5394,LNCAP,-4.155337634,0
4091,5394,LOVO,-5.98966918,0
4091,5394,MDAMB436,-2.016427238,0
4091,5394,MSTO,-5.18881613,0
4091,5394,NCIH1650,-9.075224068,0
4091,5394,NCIH2122,-3.057758777,0
4091,5394,NCIH23,-7.064671021,0
4091,5394,NCIH460,-9.901977541,0
4091,5394,NCIH520,-1.731889326,0
4091,5394,OCUBM,-19.31542727,0
4091,5394,OV90,-2.289828856,0
4091,5394,OVCAR3,-10.2103003,0
4091,5394,SKOV3,-14.10132845,0
4091,5394,SW620,-0.723835669,0
4091,5394,SW837,-15.55652416,0
4091,5394,T47D,-2.049060818,0
4091,5394,UACC62,-5.562166809,0
4091,5394,VCAP,-11.69491228,0
4091,5394,ZR751,-71.78942558,0
4091,176870,A427,-2.061649324,0
4091,176870,CAOV3,-11.10387958,0
4091,176870,COLO320DM,-2.21932275,0
4091,176870,ES2,-7.611044372,0
4091,176870,HCT116,-1.254756126,0
4091,176870,HT144,-3.472860371,0
4091,176870,HT29,-2.76787743,0
4091,176870,MSTO,43.26890492,1
4091,176870,NCIH1650,-12.14055499,0
4091,176870,NCIH23,-10.73994038,0
4091,176870,NCIH460,-4.398577101,0
4091,176870,NCIH520,-5.796278489,0
4091,176870,OV90,-9.942621259,0
4091,176870,OVCAR3,-14.02587326,0
4091,176870,RKO,-12.16139013,0
4091,176870,SKMEL30,-6.196866448,0
4091,176870,SW620,-7.55506408,0
4091,208908,A2780,-2.174460877,0
4091,208908,A375,-5.629217862,0
4091,208908,A427,-13.57408823,0
4091,208908,ES2,-8.444400298,0
4091,208908,HT144,-2.1272973,0
4091,208908,NCIH1650,-9.445499442,0
4091,208908,NCIH23,-8.834417466,0
4091,208908,NCIH460,-7.018429352,0
4091,208908,NCIH520,-7.110797906,0
4091,208908,OCUBM,-1.576386903,0
4091,208908,OV90,-13.89722716,0
4091,208908,RKO,-3.25865034,0
4091,208908,SKMEL30,-4.166109685,0
4091,208908,SW620,-6.512916584,0
4091,208908,VCAP,-4.993489262,0
4091,216239,CAOV3,-2.978858743,0
4091,216239,KPL1,-1.787536289,0
4091,216239,LOVO,-3.263749395,0
4091,216239,MSTO,-9.13985884,0
4091,216239,OVCAR3,-5.966610796,0
4091,216239,ZR751,-18.50403421,0
4091,216453,COLO320DM,-0.644858848,0
4091,216453,HCT116,-4.483189505,0
4091,216453,HT144,-0.547147688,0
4091,216453,KPL1,-11.38830342,0
4091,216453,MSTO,-9.647341975,0
4091,216453,NCIH1650,-4.928431303,0
4091,216453,OVCAR3,-6.848212054,0
4091,216453,RKO,-6.404031388,0
4091,216453,ZR751,-10.09594877,0
4091,387447,A2058,-20.46692309,0
4091,387447,A2780,-16.41071723,0
4091,387447,A427,-16.53144705,0
4091,387447,CAOV3,-8.027102483,0
4091,387447,COLO320DM,-32.63817694,0
4091,387447,EFM192B,-6.762729163,0
4091,387447,HCT116,-3.264920089,0
4091,387447,HT144,-7.950118811,0
4091,387447,HT29,-18.44897928,0
4091,387447,KPL1,-31.53664838,0
4091,387447,LNCAP,-8.489993289,0
4091,387447,LOVO,-3.955374776,0
4091,387447,MDAMB436,-4.641525683,0
4091,387447,MSTO,51.00137402,1
4091,387447,NCIH1650,-31.13257721,0
4091,387447,NCIH23,-7.733340214,0
4091,387447,NCIH460,-4.784684489,0
4091,387447,NCIH520,-17.21462959,0
4091,387447,OCUBM,-16.08642191,0
4091,387447,OV90,-4.328188897,0
4091,387447,OVCAR3,-1.181561816,0
4091,387447,RKO,-19.69298483,0
4091,387447,RPMI7951,-6.232074096,0
4091,387447,SKMEL30,-8.589077393,0
4091,387447,SKMES1,-8.973387286,0
4091,387447,SKOV3,-14.75381792,0
4091,387447,SW620,-5.089268095,0
4091,387447,SW837,-4.479404653,0
4091,387447,T47D,-8.762215376,0
4091,387447,UACC62,-9.218056733,0
4091,387447,UWB1289,-14.89923887,0
4091,387447,UWB1289BRCA1,-5.038072777,0
4091,387447,VCAP,-18.12776366,0
4091,387447,ZR751,-21.04432716,0
4091,3062316,A375,-5.260885506,0
4091,3062316,CAOV3,-0.673257562,0
4091,3062316,ES2,-8.047696111,0
4091,3062316,HCT116,-31.91073337,0
4091,3062316,HT144,-38.9127885,0
4091,3062316,MSTO,98.80382093,1
4091,3062316,NCIH2122,-65.77770455,0
4091,3062316,NCIH23,-7.933967421,0
4091,3062316,OCUBM,-1.18934201,0
4091,3062316,OV90,-3.987900895,0
