Drug_A,Drug_B,Cell_Line,Score
2907,176870,HT29,2.169800073
2907,176870,KPL1,-6.373246302
2907,176870,LNCAP,-29.89584273
2907,176870,LOVO,-3.072280744
2907,176870,MDAMB436,-5.410505674
2907,176870,MSTO,-11.81036447
2907,176870,NCIH1650,-7.649029445
2907,176870,NCIH2122,5.416846586
2907,176870,NCIH23,-7.063968146
2907,176870,NCIH460,-8.72290383
2907,176870,NCIH520,6.681497787
2907,176870,OCUBM,2.14454044
2907,176870,OV90,-13.23937296
2907,176870,OVCAR3,-6.420695627
2907,176870,PA1,-0.045547222
2907,176870,RKO,-11.2879549
2907,176870,RPMI7951,-3.809283242
2907,176870,SKMEL30,-3.91554806
2907,176870,SKMES1,5.316423034
2907,176870,SKOV3,5.66596331
2907,176870,SW620,-11.92897578
2907,176870,SW837,-1.434718608
2907,176870,T47D,26.18489183
2907,176870,UACC62,-5.741127918
2907,176870,UWB1289,19.95551646
2907,176870,UWB1289BRCA1,10.36593833
2907,176870,VCAP,2.992264205
2907,176870,ZR751,5.862799039
2907,208908,A2058,-2.779763458
2907,208908,A2780,-2.598652612
2907,208908,A375,-10.04213779
2907,208908,A427,-21.25150723
2907,208908,CAOV3,12.77636465
2907,208908,COLO320DM,4.331698381
2907,208908,DLD1,-0.895732613
2907,208908,EFM192B,-4.696790911
2907,208908,ES2,-5.342947201
2907,208908,HCT116,-2.09761671
2907,208908,HT144,-12.54923127
2907,208908,HT29,1.914864884
2907,208908,KPL1,-7.465815843
2907,208908,LNCAP,-13.39055466
2907,208908,LOVO,-9.032689811
2907,208908,MDAMB436,0.371776065
2907,208908,MSTO,-14.86962351
2907,208908,NCIH1650,-7.741116515
2907,208908,NCIH2122,-2.958369909
2907,208908,NCIH23,-2.369833365
2907,208908,NCIH460,-17.63280257
2907,208908,NCIH520,-0.515284269
2907,208908,OCUBM,-0.210308654
2907,208908,OV90,-12.78199443
2907,208908,OVCAR3,3.575658134
2907,208908,PA1,-10.03576114
2907,208908,RKO,-8.700844881
2907,208908,RPMI7951,-9.272506953
2907,208908,SKMEL30,-12.4487957
2907,208908,SKMES1,-2.029502112
2907,208908,SKOV3,-3.813600599
2907,208908,SW620,-9.981856193
2907,208908,SW837,4.33024041
2907,208908,T47D,-5.980442242
2907,208908,UACC62,-16.42072751
2907,208908,UWB1289,24.09494867
2907,208908,UWB1289BRCA1,-2.097413551
2907,208908,VCAP,-4.82792384
2907,208908,ZR751,11.39772789
2907,216239,A2058,7.637359375
2907,216239,A2780,0.832632519
2907,216239,A375,13.83847818
2907,216239,A427,4.910622428
2907,216239,CAOV3,5.643537962
2907,216239,COLO320DM,3.38671864
2907,216239,DLD1,16.34054437
2907,216239,EFM192B,5.667228164
2907,216239,ES2,7.078377765
2907,216239,HCT116,10.86632492
2907,216239,HT144,7.222045452
2907,216239,HT29,3.516734442
2907,216239,KPL1,-0.771353371
2907,216239,LNCAP,-65.35527541
2907,216239,LOVO,-3.301070463
2907,216239,MDAMB436,0.680052879
2907,216239,MSTO,-10.82105449
2907,216239,NCIH1650,3.106814985
2907,216239,NCIH2122,6.874147284
2907,216239,NCIH23,4.626549236
2907,216239,NCIH460,9.260347987
2907,216239,NCIH520,11.90323897
2907,216239,OCUBM,6.21177403
2907,216239,OV90,3.817743939
2907,216239,OVCAR3,-10.72593316
2907,216239,PA1,6.161086523
2907,216239,RKO,7.084180775
2907,216239,RPMI7951,-0.163227251
2907,216239,SKMEL30,4.840625339
2907,216239,SKMES1,14.64098368
2907,216239,SKOV3,15.47031612
2907,216239,SW620,5.668229226
2907,216239,SW837,-0.966645188
2907,216239,T47D,-0.357384795
2907,216239,UACC62,-13.19055662
2907,216239,UWB1289,4.90231631
2907,216239,UWB1289BRCA1,1.132008842
2907,216239,VCAP,2.495239414
2907,216239,ZR751,-15.28187565
2907,216453,A2058,3.865202946
2907,216453,A2780,7.047385619
2907,216453,A375,9.207859515
2907,216453,A427,4.883912978
2907,216453,CAOV3,1.205595279
2907,216453,COLO320DM,4.288306205
2907,216453,DLD1,2.534387126
2907,216453,EFM192B,7.603898429
2907,216453,ES2,-0.24475622
2907,216453,HCT116,2.034402754
2907,216453,HT144,-0.365139075
2907,216453,HT29,0.290121665
2907,216453,KPL1,-12.25271445
2907,216453,LNCAP,3.968485904
2907,216453,LOVO,-3.479588123
2907,216453,MDAMB436,8.457381799
2907,216453,MSTO,0.970674747
2907,216453,NCIH1650,-1.60077257
2907,216453,NCIH2122,7.631749299
2907,216453,NCIH23,1.724860944
2907,216453,NCIH460,-1.217739434
2907,216453,NCIH520,4.356816057
2907,216453,OCUBM,16.44634076
2907,216453,OV90,12.58617962
2907,216453,OVCAR3,-34.66471219
2907,216453,PA1,0.321563399
2907,216453,RKO,14.69332401
2907,216453,RPMI7951,13.30949708
2907,216453,SKMEL30,11.04628035
2907,216453,SKMES1,2.062458402
2907,216453,SKOV3,7.717423518
2907,216453,SW620,4.265070959
2907,216453,SW837,3.329044265
2907,216453,T47D,-14.96860537
2907,216453,UACC62,13.30508152
2907,216453,UWB1289,4.848942196
2907,216453,UWB1289BRCA1,-3.77102016
2907,216453,VCAP,18.64252396
2907,216453,ZR751,-8.968554546
2907,387447,A2058,4.609111485
2907,387447,A2780,-11.26735375
2907,387447,A375,28.57707415
2907,387447,A427,-8.502772728
2907,387447,CAOV3,-36.65413992
2907,387447,COLO320DM,3.347338633
2907,387447,DLD1,14.17402421
2907,387447,EFM192B,8.956388855
2907,387447,ES2,5.915691331
2907,387447,HCT116,14.22855307
2907,387447,HT144,4.248418658
2907,387447,HT29,-16.67612259
2907,387447,KPL1,-15.40532685
2907,387447,LNCAP,6.965669947
2907,387447,LOVO,5.096487233
2907,387447,MDAMB436,-0.619310964
2907,387447,MSTO,13.95451539
2907,387447,NCIH1650,-14.47544863
2907,387447,NCIH2122,27.75692904
2907,387447,NCIH23,7.375214311
2907,387447,NCIH460,14.88718391
2907,387447,NCIH520,-17.71924757
2907,387447,OCUBM,12.94024251
2907,387447,OV90,-1.897133837
2907,387447,OVCAR3,-25.17853705
2907,387447,PA1,5.081519004
2907,387447,RKO,28.37985911
2907,387447,RPMI7951,2.107698425
2907,387447,SKMEL30,7.190797157
2907,387447,SKMES1,-10.2518384
2907,387447,SKOV3,-2.662322654
2907,387447,SW620,8.077038301
2907,387447,SW837,5.005909637
2907,387447,T47D,-23.08859768
2907,387447,UACC62,-9.525027695
2907,387447,UWB1289,-17.38594039
2907,387447,UWB1289BRCA1,-16.03806129
2907,387447,VCAP,-1.054029239
2907,387447,ZR751,8.865270806
2907,3062316,A2058,10.37911966
2907,3062316,A2780,23.25825742
2907,3062316,A375,-7.039252513
2907,3062316,A427,17.46960422
2907,3062316,CAOV3,2.147720817
2907,3062316,COLO320DM,4.076625188
2907,3062316,DLD1,14.15014516
2907,3062316,EFM192B,18.10536632
2907,3062316,ES2,-5.659802415
2907,3062316,HCT116,-28.00152206
2907,3062316,HT144,-53.79648119
2907,3062316,HT29,14.43630229
2907,3062316,KPL1,-4.988167769
2907,3062316,LNCAP,-27.42883623
2907,3062316,LOVO,20.84082433
2907,3062316,MDAMB436,8.391387883
2907,3062316,MSTO,-16.99645444
2907,3062316,NCIH1650,24.79300577
2907,3062316,NCIH2122,-48.37729556
2907,3062316,NCIH23,1.447081653
2907,3062316,NCIH460,-3.312764954
2907,3062316,NCIH520,16.19586466
2907,3062316,OCUBM,9.537455423
2907,3062316,OV90,-3.19591068
2907,3062316,OVCAR3,50.72841599
2907,3062316,PA1,3.594111034
2907,3062316,RKO,6.409083445
2907,3062316,RPMI7951,3.69118438
2907,3062316,SKMEL30,-24.34554135
2907,3062316,SKMES1,7.500440391
2907,3062316,SKOV3,-5.820910392
2907,3062316,SW620,6.425428873
2907,3062316,SW837,9.98112215
2907,3062316,T47D,-15.33862999
2907,3062316,UACC62,-3.680153221
2907,3062316,UWB1289,-1.568277509
2907,3062316,UWB1289BRCA1,5.58274764
2907,3062316,VCAP,14.18815199
2907,3062316,ZR751,-16.76462773
2907,5288382,A2058,2.473548124
2907,5288382,A2780,-9.965537092
2907,5288382,A375,-8.590118003
2907,5288382,A427,-2.184700402
2907,5288382,CAOV3,-6.541062748
2907,5288382,COLO320DM,2.941487436
2907,5288382,DLD1,-2.460812475
2907,5288382,EFM192B,1.738538027
2907,5288382,ES2,-12.92243489
2907,5288382,HCT116,13.76600921
2907,5288382,HT144,-11.28078492
2907,5288382,HT29,2.547348194
2907,5288382,KPL1,9.615747439
2907,5288382,LNCAP,20.25024227
2907,5288382,LOVO,1.096419798
2907,5288382,MDAMB436,11.78160406
2907,5288382,MSTO,-19.45589953
2907,5288382,NCIH1650,0.257585417
2907,5288382,NCIH2122,6.816647146
2907,5288382,NCIH23,-1.437948727
2907,5288382,NCIH460,3.686400647
2907,5288382,NCIH520,5.339457591
2907,5288382,OCUBM,10.50924215
2907,5288382,OV90,-5.78020129
2907,5288382,OVCAR3,-5.304145066
2907,5288382,PA1,-10.43984161
2907,5288382,RKO,-2.133530745
2907,5288382,RPMI7951,-6.309509387
2907,5288382,SKMEL30,-10.78081908
2907,5288382,SKMES1,1.059170684
2907,5288382,SKOV3,2.069540097
2907,5288382,SW620,-6.434764928
2907,5288382,SW837,-3.718968384
2907,5288382,T47D,-25.05944518
2907,5288382,UACC62,-13.0158698
2907,5288382,UWB1289,-8.10376924
2907,5288382,UWB1289BRCA1,7.823650632
2907,5288382,VCAP,5.300310739
2907,5288382,ZR751,-6.707725763
2907,5329102,A2058,9.171037685
2907,5329102,A2780,3.454983961
2907,5329102,A375,8.362119384
2907,5329102,A427,3.460146314
2907,5329102,CAOV3,6.407194329
2907,5329102,COLO320DM,12.08028626
2907,5329102,DLD1,10.38730426
2907,5329102,EFM192B,9.508866098
2907,5329102,ES2,4.832694335
2907,5329102,HCT116,9.848590596
2907,5329102,HT144,-0.235016091
2907,5329102,HT29,9.43194525
2907,5329102,KPL1,9.770601883
2907,5329102,LNCAP,-14.56500887
2907,5329102,LOVO,0.808875706
2907,5329102,MDAMB436,0.581043348
2907,5329102,MSTO,0.041124395
2907,5329102,NCIH1650,8.850859834
2907,5329102,NCIH2122,11.84407932
2907,5329102,NCIH23,2.588225779
2907,5329102,NCIH460,3.107565698
2907,5329102,NCIH520,12.61371814
2907,5329102,OCUBM,2.448037712
2907,5329102,OV90,3.8958027
2907,5329102,OVCAR3,10.33233948
2907,5329102,PA1,7.837884004
2907,5329102,RKO,3.853051575
2907,5329102,RPMI7951,-2.108767604
2907,5329102,SKMEL30,1.389722388
2907,5329102,SKMES1,8.496342041
2907,5329102,SKOV3,10.09492746
2907,5329102,SW620,3.042109571
2907,5329102,SW837,-1.079094363
2907,5329102,T47D,3.684791293
2907,5329102,UACC62,5.717941269
2907,5329102,UWB1289,5.32021844
2907,5329102,UWB1289BRCA1,6.852236357
2907,5329102,VCAP,14.45936355
2907,5329102,ZR751,-0.33504268
2907,9826528,A2058,-1.843010941
2907,9826528,A2780,-8.138271946
2907,9826528,A375,-2.150443052
2907,9826528,A427,-9.961044534
2907,9826528,CAOV3,31.65245495
2907,9826528,COLO320DM,0.996719456
2907,9826528,DLD1,-2.818802283
2907,9826528,EFM192B,-2.568152457
2907,9826528,ES2,-2.941958467
2907,9826528,HCT116,4.86745283
2907,9826528,HT144,-7.782678188
2907,9826528,HT29,3.68438039
2907,9826528,KPL1,24.96305469
2907,9826528,LNCAP,11.33924275
2907,9826528,LOVO,-3.885033928
2907,9826528,MDAMB436,-5.376208327
2907,9826528,MSTO,-14.17603986
2907,9826528,NCIH1650,-4.553468606
2907,9826528,NCIH2122,4.441333158
2907,9826528,NCIH23,3.499275662
2907,9826528,NCIH460,-3.465709085
2907,9826528,NCIH520,6.522177959
2907,9826528,OCUBM,-6.316488557
2907,9826528,OV90,-12.2633658
2907,9826528,OVCAR3,11.14707058
2907,9826528,PA1,-5.88626363
2907,9826528,RKO,-0.263209169
2907,9826528,RPMI7951,-6.574925791
2907,9826528,SKMEL30,-3.572047578
2907,9826528,SKMES1,-9.715853787
2907,9826528,SKOV3,4.943760077
2907,9826528,SW620,-4.081865322
2907,9826528,SW837,-0.182049361
2907,9826528,T47D,-54.33920079
2907,9826528,UACC62,-9.330093025
2907,9826528,UWB1289,13.50821852
2907,9826528,UWB1289BRCA1,5.90066138
2907,9826528,VCAP,10.42588205
2907,9826528,ZR751,10.75148733
2907,11520894,A2058,20.19732054
2907,11520894,A2780,4.405273787
2907,11520894,A375,17.94121432
2907,11520894,A427,22.79309695
2907,11520894,CAOV3,15.45762723
2907,11520894,COLO320DM,6.271613774
2907,11520894,DLD1,11.24202693
2907,11520894,EFM192B,56.14483561
2907,11520894,ES2,9.675328614
2907,11520894,HCT116,16.84286997
2907,11520894,HT144,14.84866563
2907,11520894,HT29,5.779514546
2907,11520894,KPL1,45.36507029
2907,11520894,LNCAP,-39.61912652
2907,11520894,LOVO,4.821455146
2907,11520894,MDAMB436,8.641795969
2907,11520894,MSTO,9.842627829
2907,11520894,NCIH1650,21.77249105
2907,11520894,NCIH2122,14.08773267
2907,11520894,NCIH23,8.58586167
2907,11520894,NCIH460,10.95191856
2907,11520894,NCIH520,15.49758778
2907,11520894,OCUBM,42.78787674
2907,11520894,OV90,13.03210427
2907,11520894,OVCAR3,9.578863323
2907,11520894,PA1,14.02334091
2907,11520894,RKO,25.51276496
2907,11520894,RPMI7951,18.24907334
2907,11520894,SKMEL30,34.48879438
2907,11520894,SKMES1,19.99834965
2907,11520894,SKOV3,19.09200743
2907,11520894,SW620,9.047323405
2907,11520894,SW837,-2.190133483
2907,11520894,T47D,24.59091498
2907,11520894,UACC62,15.97502402
2907,11520894,UWB1289,-9.673768534
2907,11520894,UWB1289BRCA1,1.198181378
2907,11520894,VCAP,24.77674304
2907,11520894,ZR751,13.90151315
2907,11960529,A2058,12.72496744
2907,11960529,A2780,10.54371833
2907,11960529,A375,1.07427581
2907,11960529,A427,-11.63887968
2907,11960529,CAOV3,8.935876993
2907,11960529,COLO320DM,9.437501296
2907,11960529,DLD1,6.015946347
2907,11960529,EFM192B,8.639489261
2907,11960529,ES2,-7.765952714
2907,11960529,HCT116,16.80085086
2907,11960529,HT144,7.701201451
2907,11960529,HT29,0.672920289
2907,11960529,KPL1,-10.6320112
2907,11960529,LNCAP,-13.96198475
2907,11960529,LOVO,-4.952741064
2907,11960529,MDAMB436,3.136765767
2907,11960529,MSTO,7.918974595
2907,11960529,NCIH1650,-3.985984683
2907,11960529,NCIH2122,4.774756974
2907,11960529,NCIH23,5.185860464
2907,11960529,NCIH460,17.43411202
2907,11960529,NCIH520,4.428951591
2907,11960529,OCUBM,15.84144254
2907,11960529,OV90,11.77323193
2907,11960529,OVCAR3,0.476839533
2907,11960529,PA1,9.084838716
2907,11960529,RKO,16.66446001
2907,11960529,RPMI7951,-7.016517482
2907,11960529,SKMEL30,3.108574417
2907,11960529,SKMES1,8.97433868
2907,11960529,SKOV3,5.695025194
2907,11960529,SW620,1.384972156
2907,11960529,SW837,-15.42055822
2907,11960529,T47D,-4.08859713
2907,11960529,UACC62,2.175712963
2907,11960529,UWB1289,-6.52771367
2907,11960529,UWB1289BRCA1,-8.40497407
2907,11960529,VCAP,2.21341167
2907,11960529,ZR751,-32.21629252
2907,11977753,A2058,12.746188
2907,11977753,A2780,17.87489148
2907,11977753,A375,12.84457015
2907,11977753,A427,6.84357603
2907,11977753,CAOV3,25.73426903
2907,11977753,COLO320DM,19.18706704
2907,11977753,DLD1,8.450724284
2907,11977753,EFM192B,24.02757327
2907,11977753,ES2,13.6449687
2907,11977753,HCT116,19.71806156
2907,11977753,HT144,4.180603097
2907,11977753,HT29,27.56912056
2907,11977753,KPL1,17.76684973
2907,11977753,LNCAP,67.79077683
2907,11977753,LOVO,15.21554287
2907,11977753,MDAMB436,19.46579283
2907,11977753,MSTO,0.194617094
2907,11977753,NCIH1650,17.10667081
2907,11977753,NCIH2122,15.24257082
2907,11977753,NCIH23,13.71675676
2907,11977753,NCIH460,15.77911392
2907,11977753,NCIH520,27.06526505
2907,11977753,OCUBM,24.43353942
2907,11977753,OV90,18.22206593
2907,11977753,OVCAR3,9.703324838
2907,11977753,PA1,11.22939508
2907,11977753,RKO,10.07696496
2907,11977753,RPMI7951,20.11601915
2907,11977753,SKMEL30,18.44648099
2907,11977753,SKMES1,18.31955895
2907,11977753,SKOV3,11.70523261
2907,11977753,SW620,15.92331709
2907,11977753,SW837,24.16298095
2907,11977753,T47D,100.4024954
2907,11977753,UACC62,15.36114912
2907,11977753,UWB1289,32.06369794
2907,11977753,UWB1289BRCA1,28.89750417
2907,11977753,VCAP,23.40807993
2907,11977753,ZR751,16.96621247
2907,16224745,A2058,6.213549793
2907,16224745,A2780,1.382553802
2907,16224745,A375,11.88780653
2907,16224745,A427,-6.499720942
2907,16224745,CAOV3,-2.213013335
2907,16224745,COLO320DM,3.624999885
2907,16224745,DLD1,0.073692881
2907,16224745,EFM192B,9.093805922
2907,16224745,ES2,3.581054303
2907,16224745,HCT116,1.801324839
2907,16224745,HT144,11.41082125
2907,16224745,HT29,-0.822583458
2907,16224745,KPL1,-18.7208177
2907,16224745,LNCAP,21.72912695
2907,16224745,LOVO,6.366250764
2907,16224745,MDAMB436,-2.876242428
2907,16224745,MSTO,-17.29457907
2907,16224745,NCIH1650,-10.65970238
2907,16224745,NCIH2122,-10.50085667
2907,16224745,NCIH23,-8.207760148
2907,16224745,NCIH460,5.505691677
2907,16224745,NCIH520,1.318328844
2907,16224745,OCUBM,18.94790987
2907,16224745,OV90,10.05522761
2907,16224745,OVCAR3,-0.683654859
2907,16224745,PA1,4.791975352
2907,16224745,RKO,10.07988182
2907,16224745,RPMI7951,7.513580575
2907,16224745,SKMEL30,9.54768201
2907,16224745,SKMES1,-2.461228342
2907,16224745,SKOV3,13.7160645
2907,16224745,SW620,1.503058568
2907,16224745,SW837,-21.49748875
2907,16224745,T47D,-4.31321507
2907,16224745,UACC62,10.79198192
2907,16224745,UWB1289,-7.84170195
2907,16224745,UWB1289BRCA1,-7.709930473
2907,16224745,VCAP,10.13071851
2907,16224745,ZR751,12.81724236
2907,24748204,A2058,5.666592215
2907,24748204,A2780,-3.013528255
2907,24748204,A375,14.29773779
2907,24748204,A427,7.415845911
2907,24748204,CAOV3,11.70407524
2907,24748204,COLO320DM,8.457147818
2907,24748204,DLD1,8.100410973
2907,24748204,EFM192B,17.45768081
2907,24748204,ES2,4.600595621
2907,24748204,HCT116,6.350937361
2907,24748204,HT144,10.43508064
2907,24748204,HT29,5.783408262
2907,24748204,KPL1,8.109910758
2907,24748204,LNCAP,-44.89482989
2907,24748204,LOVO,-7.056699596
2907,24748204,MDAMB436,6.852561455
2907,24748204,MSTO,6.675669022
2907,24748204,NCIH1650,5.279455312
2907,24748204,NCIH2122,9.274599341
2907,24748204,NCIH23,4.521096285
2907,24748204,NCIH460,-5.895400138
2907,24748204,NCIH520,3.242897625
2907,24748204,OCUBM,21.12940866
2907,24748204,OV90,8.473092874
2907,24748204,OVCAR3,2.41501861
2907,24748204,PA1,3.590382944
2907,24748204,RKO,29.25941015
2907,24748204,RPMI7951,3.298418953
2907,24748204,SKMEL30,20.04232712
2907,24748204,SKMES1,2.079468042
2907,24748204,SKOV3,17.30979477
2907,24748204,SW620,1.461320356
2907,24748204,SW837,-0.863652702
2907,24748204,T47D,22.07693933
2907,24748204,UACC62,15.62004561
2907,24748204,UWB1289,-11.10468402
2907,24748204,UWB1289BRCA1,0.416976333
2907,24748204,VCAP,10.05525371
2907,24748204,ZR751,6.15338711
2907,24856436,A2058,4.837459468
2907,24856436,A2780,2.669570741
2907,24856436,A375,1.947286108
2907,24856436,A427,4.378328156
2907,24856436,CAOV3,0.821727911
2907,24856436,COLO320DM,7.751563112
2907,24856436,DLD1,6.077072015
2907,24856436,EFM192B,-1.634016434
2907,24856436,ES2,0.626872533
2907,24856436,HCT116,1.37400168
2907,24856436,HT144,4.334035804
2907,24856436,HT29,9.675348226
2907,24856436,KPL1,1.106845198
2907,24856436,LNCAP,-41.47720935
2907,24856436,LOVO,-4.0399195
2907,24856436,MDAMB436,5.790513891
2907,24856436,MSTO,0.873981872
2907,24856436,NCIH1650,16.8889801
2907,24856436,NCIH2122,6.723657226
2907,24856436,NCIH23,-2.384871794
2907,24856436,NCIH460,0.639398828
2907,24856436,NCIH520,10.37606584
2907,24856436,OCUBM,4.17834085
2907,24856436,OV90,-2.76096107
2907,24856436,OVCAR3,8.24772306
2907,24856436,PA1,3.38069755
2907,24856436,RKO,4.478737453
2907,24856436,RPMI7951,6.272445921
2907,24856436,SKMEL30,9.047295544
2907,24856436,SKMES1,7.872673476
2907,24856436,SKOV3,14.85824444
2907,24856436,SW620,1.464370216
2907,24856436,SW837,4.417125122
2907,24856436,T47D,-8.212706736
2907,24856436,UACC62,7.098235274
2907,24856436,UWB1289,67.63674093
2907,24856436,UWB1289BRCA1,6.162722824
2907,24856436,VCAP,2.472826194
2907,24856436,ZR751,0.069081844
2907,24958200,A2058,8.510258466
2907,24958200,A2780,2.16157362
2907,24958200,A375,-1.328121222
2907,24958200,A427,-10.7346263
2907,24958200,CAOV3,6.330050421
2907,24958200,COLO320DM,12.57401681
2907,24958200,DLD1,0.607152829
2907,24958200,EFM192B,-0.371497883
2907,24958200,ES2,-6.950321057
2907,24958200,HCT116,8.410649144
2907,24958200,HT144,-0.399138895
2907,24958200,HT29,8.705600712
2907,24958200,KPL1,1.795153946
2907,24958200,LNCAP,-66.13421817
2907,24958200,LOVO,-13.74195139
2907,24958200,MDAMB436,5.94263348
2907,24958200,MSTO,-6.419720062
2907,24958200,NCIH1650,9.327900921
2907,24958200,NCIH2122,10.54513171
2907,24958200,NCIH23,-1.774150127
2907,24958200,NCIH460,-1.091727406
2907,24958200,NCIH520,2.834850559
2907,24958200,OCUBM,18.942535
2907,24958200,OV90,0.128171327
2907,24958200,OVCAR3,22.96308721
2907,24958200,PA1,-0.827278151
2907,24958200,RKO,4.096466361
2907,24958200,RPMI7951,-0.093818486
2907,24958200,SKMEL30,-0.280705457
2907,24958200,SKMES1,2.248629161
2907,24958200,SKOV3,8.08492771
2907,24958200,SW620,5.297020054
2907,24958200,SW837,-17.67207508
2907,24958200,T47D,-24.21855613
2907,24958200,UACC62,-13.88910739
2907,24958200,UWB1289,2.585006309
2907,24958200,UWB1289BRCA1,6.580627437
2907,24958200,VCAP,9.033105367
2907,24958200,ZR751,16.26602007
2907,24964624,A2058,10.17270566
2907,24964624,A2780,3.863972045
2907,24964624,A375,11.1214466
2907,24964624,A427,4.671874288
2907,24964624,CAOV3,23.47213243
2907,24964624,COLO320DM,7.464477345
2907,24964624,DLD1,14.86183821
2907,24964624,EFM192B,3.535748733
2907,24964624,ES2,-0.63112687
2907,24964624,HCT116,10.40647455
2907,24964624,HT144,13.49372612
2907,24964624,HT29,-0.319208457
2907,24964624,KPL1,29.77514728
2907,24964624,LNCAP,-115.3140291
2907,24964624,LOVO,-11.15448584
2907,24964624,MDAMB436,3.236122134
2907,24964624,MSTO,11.88256454
2907,24964624,NCIH1650,4.236490927
2907,24964624,NCIH2122,7.497577624
2907,24964624,NCIH23,0.415551629
2907,24964624,NCIH460,6.57225477
2907,24964624,NCIH520,5.434766063
2907,24964624,OCUBM,7.785934531
2907,24964624,OV90,14.68176677
2907,24964624,OVCAR3,5.415567499
2907,24964624,PA1,17.78702074
2907,24964624,RKO,27.22991066
2907,24964624,RPMI7951,8.149209425
2907,24964624,SKMEL30,13.74933436
2907,24964624,SKMES1,4.840202185
2907,24964624,SKOV3,9.882214838
2907,24964624,SW620,1.899000688
2907,24964624,SW837,1.716254813
2907,24964624,T47D,37.41936164
2907,24964624,UACC62,9.311340302
2907,24964624,UWB1289,-8.701963258
2907,24964624,UWB1289BRCA1,0.133360293
2907,24964624,VCAP,10.91622234
2907,24964624,ZR751,8.645136094
2907,46926350,A2058,12.40275203
2907,46926350,A2780,-3.247479641
2907,46926350,A375,10.35276194
2907,46926350,A427,6.409931968
2907,46926350,CAOV3,-17.60390771
2907,46926350,COLO320DM,8.138691775
2907,46926350,DLD1,4.056974501
2907,46926350,EFM192B,12.30045292
2907,46926350,ES2,2.624494925
2907,46926350,HCT116,5.753102383
2907,46926350,HT144,4.011141938
2907,46926350,HT29,0.49146032
2907,46926350,KPL1,-12.26423344
2907,46926350,LNCAP,56.67788114
2907,46926350,LOVO,0.334127273
2907,46926350,MDAMB436,-0.898396822
2907,46926350,MSTO,20.77980249
2907,46926350,NCIH1650,7.617534692
2907,46926350,NCIH2122,6.815420528
